Raw,Fixed point,Original,original fixed point
0,0,0,0
0,0,5125,0.156402588
12,0.000366211,10125,0.308990479
54,0.001647949,14875,0.453948975
168,0.005126953,19259,0.587738037
440,0.013427734,23169,0.707061768
986,0.030090332,26509,0.808990479
1934,0.059020996,29195,0.890960693
3400,0.103759766,31163,0.951019287
5440,0.166015625,32363,0.987640381
8040,0.245361328,32767,0.999969482
11107,0.33895874,32363,0.987640381
14463,0.441375732,31163,0.951019287
17889,0.545928955,29195,0.890960693
21160,0.645751953,26509,0.808990479
24069,0.734527588,23169,0.707061768
26462,0.807556152,19259,0.587738037
28232,0.861572266,14875,0.453948975
29320,0.894775391,10125,0.308990479
29684,0.905883789,5125,0.156402588
29320,0.894775391,0,0
28232,0.861572266,60409,-0.156463623
26449,0.807159424,55410,-0.309020996
24013,0.732818604,50659,-0.45401001
20989,0.640533447,46275,-0.587799072
17445,0.53237915,42365,-0.707122803
13472,0.411132813,39026,-0.809020996
9167,0.279754639,36339,-0.891021729
4633,0.141387939,34371,-0.951080322
-8,-0.000244141,33171,-0.987701416
-4651,-0.141937256,32768,-1
-9183,-0.28024292,33171,-0.987701416
-13489,-0.411651611,34371,-0.951080322
-17464,-0.532958984,36339,-0.891021729
-21005,-0.641021729,39026,-0.809020996
-24030,-0.733337402,42365,-0.707122803
-26466,-0.807678223,46275,-0.587799072
-28250,-0.862121582,50659,-0.45401001
-29337,-0.895294189,55410,-0.309020996
-29703,-0.906463623,60409,-0.156463623
-29337,,,
-28250,,,
-26466,,,
-24030,,,
-21005,,,
-17464,,,
-13489,,,
-9183,,,
-4651,,,
-8,,,
4633,,,
9167,,,
13472,,,
17445,,,
20989,,,
24013,,,
26449,,,
28232,,,
29320,,,
29684,,,
29320,,,
28232,,,
26449,,,
24013,,,
20989,,,
17445,,,
13472,,,
9167,,,
4633,,,
-8,,,
-4651,,,
-9183,,,
-13489,,,
-17464,,,
-21005,,,
-24030,,,
-26466,,,
-28250,,,
-29337,,,
-29703,,,
-29337,,,
-28250,,,
-26466,,,
